area_type,availability,location,size,bath,balcony,price,bhk,total_sqft,price_per_sqft
Super built-up  Area,22-Jun,Hoodi,3 BHK,3.0,2.0,129.0,3,1639.0,7870.65283709579
Super built-up  Area,18-Apr,Sarjapur  Road,3 BHK,3.0,1.0,135.0,3,1685.0,8011.86943620178
Built-up  Area,Ready To Move,Other,5 Bedroom,4.0,2.0,180.0,5,1008.0,17857.14285714286
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2.0,3.0,38.0,2,1100.0,3454.5454545454545
Super built-up  Area,19-Sep,Marathahalli,3 BHK,3.0,2.0,125.0,3,2122.0,5890.66918001885
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,2.0,2.0,47.0,2,1050.0,4476.190476190476
Built-up  Area,Ready To Move,Kengeri,2 BHK,2.0,2.0,45.0,2,1230.0,3658.5365853658536
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,3.0,2.0,60.0,3,1240.0,4838.709677419355
Built-up  Area,16-Oct,Electronic City Phase II,3 BHK,2.0,3.0,65.0,3,1252.0,5191.693290734825
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,88.0,3,1374.0,6404.657933042213
Super built-up  Area,18-Jul,8th Phase JP Nagar,1 BHK,1.0,1.0,30.0,1,500.0,6000.0
Plot  Area,Ready To Move,Arekere,8 Bedroom,8.0,2.0,225.0,8,1200.0,18750.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,3.0,2.0,83.87,3,1355.0,6189.667896678967
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2.0,3.0,45.0,2,1040.0,4326.923076923077
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2.0,2.0,68.0,2,1350.0,5037.037037037037
Super built-up  Area,18-Apr,Whitefield,4 BHK,6.0,3.0,300.0,4,4003.0,7494.379215588308
Super built-up  Area,Ready To Move,Hennur,3 BHK,3.0,2.0,135.0,3,2400.0,5625.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3.0,1.0,90.0,3,1560.0,5769.2307692307695
Super built-up  Area,17-Jul,Anandapura,2 BHK,2.0,1.0,43.16,2,1151.0,3749.7827975673326
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2.0,2.0,47.59,3,1360.0,3499.264705882353
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,60.0,2,1250.0,4800.0
Super built-up  Area,19-Dec,Chandapura,3 BHK,2.0,2.0,29.97,3,1110.0,2700.0
Built-up  Area,Ready To Move,Hennur Road,2 BHK,2.0,2.0,50.0,2,1015.0,4926.108374384236
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,2.0,2.0,78.0,3,1351.0,5773.501110288675
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,2.0,2.0,50.0,2,960.0,5208.333333333333
Super built-up  Area,18-May,Other,2 BHK,2.0,2.0,52.0,2,1110.0,4684.684684684685
Built-up  Area,Ready To Move,R.T. Nagar,3 BHK,3.0,2.0,72.0,3,1680.0,4285.714285714285
Plot  Area,Ready To Move,Arekere,3 Bedroom,3.0,1.0,180.0,3,2400.0,7500.0
Plot  Area,18-Apr,Other,4 Bedroom,5.0,3.0,2000.0,4,11000.0,18181.81818181818
Built-up  Area,18-Mar,Other,3 BHK,3.0,2.0,48.6,3,1350.0,3600.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,2.0,2.0,47.0,2,1254.0,3748.006379585327
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3.0,2.0,115.0,3,1255.0,9163.346613545817
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2.0,3.0,61.0,2,1051.0,5803.996194100856
Plot  Area,Ready To Move,Other,3 Bedroom,3.0,1.0,205.0,3,1200.0,17083.333333333332
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,2.0,2.0,65.0,2,1099.0,5914.467697907188
Super built-up  Area,Ready To Move,Hebbal,3 BHK,4.0,3.0,199.0,3,2650.0,7509.433962264151
Built-up  Area,18-May,Other,4 Bedroom,2.0,1.0,160.0,4,2000.0,8000.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,2.0,2.0,130.0,2,1541.0,8436.080467229072
Plot  Area,18-May,Sarjapur  Road,3 Bedroom,3.0,2.0,70.0,3,1200.0,5833.333333333333
Built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,2.0,45.0,2,1125.0,4000.0
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,3.0,2.0,85.0,3,1650.0,5151.515151515152
Super built-up  Area,Ready To Move,Other,1 BHK,1.0,1.0,62.0,1,834.0,7434.052757793765
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,3.0,2.0,60.0,3,1320.0,4545.454545454545
Plot  Area,Ready To Move,Malleshpalya,3 Bedroom,3.0,1.0,149.0,3,1200.0,12416.666666666666
Plot  Area,Ready To Move,Other,8 Bedroom,7.0,0.0,160.0,8,1000.0,16000.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,3.0,2.0,74.0,3,1500.0,4933.333333333333
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5.0,2.0,500.0,4,4400.0,11363.636363636364
Plot  Area,Ready To Move,Kanakpura Road,1 Bedroom,1.0,0.0,125.0,1,87120.0,143.48025711662075
Plot  Area,Ready To Move,Other,1 Bedroom,1.0,0.0,52.0,1,600.0,8666.666666666666
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,2.0,70.0,2,1180.0,5932.203389830508
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,2.0,1.0,50.0,2,1010.0,4950.495049504951
Super built-up  Area,Ready To Move,Channasandra,2 BHK,2.0,1.0,38.0,2,1070.0,3551.4018691588785
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,3.0,3.0,105.0,3,1580.0,6645.569620253164
Plot  Area,Ready To Move,Other,4 Bedroom,5.0,2.0,325.0,4,1200.0,27083.333333333332
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,3.0,2.0,165.0,3,2000.0,8250.0
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,3.0,2.0,130.0,3,1920.0,6770.833333333333
Super built-up  Area,Ready To Move,Sanjay nagar,3 BHK,2.0,1.0,76.0,3,1200.0,6333.333333333333
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2.0,2.0,45.0,2,1040.0,4326.923076923077
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,2.0,2.0,90.0,3,1430.0,6293.706293706294
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2.0,2.0,52.85,3,1215.0,4349.794238683127
Super built-up  Area,Ready To Move,Domlur,1 BHK,1.0,1.0,70.0,1,650.0,10769.23076923077
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3.0,1.0,105.0,3,1564.0,6713.5549872122765
Built-up  Area,Ready To Move,Other,3 Bedroom,2.0,1.0,52.0,3,800.0,6500.0
Built-up  Area,Ready To Move,Hormavu,2 Bedroom,2.0,0.0,58.0,2,750.0,7733.333333333333
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2.0,2.0,60.0,2,1200.0,5000.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2.0,1.0,48.79,2,1128.0,4325.354609929078
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2.0,2.0,44.4,2,1200.0,3700.0
Super built-up  Area,Ready To Move,Other,4 BHK,4.0,1.0,135.0,4,2000.0,6750.0
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,260.0,3,2750.0,9454.545454545454
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,2.0,480.0,4,2400.0,20000.0
Built-up  Area,Ready To Move,Yelahanka,3 BHK,3.0,3.0,105.0,3,1650.0,6363.636363636364
Super built-up  Area,18-Jun,1st Block Jayanagar,2 BHK,2.0,2.0,148.0,2,1235.0,11983.805668016194
Built-up  Area,Ready To Move,Yelahanka,2 BHK,2.0,2.0,55.0,2,1200.0,4583.333333333333
Super built-up  Area,Ready To Move,Other,6 BHK,5.0,2.0,100.0,6,900.0,11111.111111111111
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,2.0,2.0,42.0,2,985.0,4263.959390862944
Super built-up  Area,18-May,Ramagondanahalli,3 BHK,2.0,2.0,63.0,3,1475.0,4271.186440677966
Super built-up  Area,Ready To Move,Hebbal,3 BHK,5.0,0.0,348.0,3,3450.0,10086.95652173913
Super built-up  Area,19-Nov,Sarjapur  Road,3 BHK,2.0,1.0,53.99,3,1157.0,4666.3785652549695
Built-up  Area,Ready To Move,Other,2 BHK,2.0,3.0,35.0,2,900.0,3888.8888888888887
Plot  Area,Ready To Move,Gottigere,4 Bedroom,3.0,2.0,120.0,4,2500.0,4800.0
Built-up  Area,Ready To Move,GM Palaya,2 BHK,2.0,1.0,60.0,2,1030.0,5825.242718446602
Super built-up  Area,18-Apr,Other,2 BHK,2.0,1.0,46.0,2,1000.0,4600.0
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,3.0,3.0,325.0,4,3800.0,8552.631578947368
Plot  Area,18-May,Kasavanhalli,4 Bedroom,4.0,2.0,333.0,4,4260.0,7816.901408450704
Plot  Area,Ready To Move,Brookefield,5 Bedroom,6.0,3.0,175.0,5,1950.0,8974.358974358975
Super built-up  Area,Ready To Move,Kudlu,3 BHK,2.0,2.0,65.94,3,1570.0,4200.0
Super built-up  Area,18-Aug,Kanakapura,2 BHK,2.0,2.0,68.0,2,1283.0,5300.077942322681
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,2.0,2.0,40.0,3,875.0,4571.428571428572
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,52.0,2,1200.0,4333.333333333333
Plot  Area,Ready To Move,HAL 2nd Stage,3 Bedroom,3.0,0.0,500.0,3,2700.0,18518.51851851852
Plot  Area,Ready To Move,Konanakunte,3 Bedroom,2.0,3.0,180.0,3,2400.0,7500.0
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,2.0,2.0,68.75,3,1250.0,5500.0
Super built-up  Area,18-Feb,Old Madras Road,4 BHK,6.0,1.0,196.0,4,3630.0,5399.449035812672
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2.0,2.0,37.62,2,990.0,3799.9999999999995
Super built-up  Area,Ready To Move,Panathur,2 BHK,2.0,1.0,85.0,2,1199.0,7089.241034195163
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,2.0,90.0,2,1280.0,7031.25
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,4.0,0.0,413.0,4,2750.0,15018.181818181818
Built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,55.0,2,1190.0,4621.848739495798
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,2.0,2.0,60.0,2,1100.0,5454.545454545455
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,1.0,175.0,3,2075.0,8433.734939759037
Built-up  Area,Ready To Move,Harlur,2 BHK,2.0,1.0,55.0,2,1133.0,4854.368932038835
Built-up  Area,Ready To Move,Somasundara Palya,4 BHK,3.0,3.0,140.0,4,2400.0,5833.333333333333
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2.0,2.0,69.0,2,1280.0,5390.625
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,3.0,2.0,65.0,3,1250.0,5200.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,2.0,2.0,49.3,3,1565.0,3150.1597444089457
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,0.0,65.0,3,1900.0,3421.0526315789475
Built-up  Area,Ready To Move,Munnekollal,2 BHK,2.0,2.0,45.0,2,1080.0,4166.666666666667
Super built-up  Area,Ready To Move,Battarahalli,1 BHK,1.0,0.0,47.0,1,600.0,7833.333333333333
Plot  Area,Ready To Move,Other,3 Bedroom,4.0,1.0,180.0,3,1240.0,14516.129032258064
Built-up  Area,Ready To Move,HRBR Layout,3 BHK,2.0,1.0,87.0,3,1335.0,6516.853932584269
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2.0,1.0,67.3,2,1246.0,5401.284109149277
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3.0,1.0,55.0,3,1385.0,3971.1191335740073
Super built-up  Area,18-Nov,Other,3 BHK,3.0,1.0,73.9,3,1578.0,4683.143219264893
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2.0,2.0,46.0,2,1140.0,4035.0877192982457
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,3.0,1.0,79.9,3,1700.0,4700.000000000001
Plot  Area,Ready To Move,Other,4 Bedroom,4.0,0.0,90.0,4,1050.0,8571.42857142857
Built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,2.0,1.0,70.0,2,1120.0,6250.0
Super built-up  Area,Ready To Move,Electronic City,1 BHK,1.0,1.0,22.0,1,435.0,5057.471264367816
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,2.0,1.0,51.89,2,1116.0,4649.641577060932
Super built-up  Area,Ready To Move,Old Madras Road,3 BHK,3.0,2.0,95.0,3,1480.0,6418.918918918919
Built-up  Area,Ready To Move,Hormavu,2 BHK,2.0,2.0,50.0,2,1000.0,5000.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2.0,2.0,46.0,2,1145.0,4017.467248908297
Super built-up  Area,Ready To Move,Bommasandra,2 BHK,1.0,1.0,32.0,2,800.0,4000.0
Super built-up  Area,18-Apr,Thanisandra,2 BHK,2.0,1.0,83.0,2,1265.0,6561.264822134387
Super built-up  Area,21-Jul,Devanahalli,3 BHK,3.0,0.0,88.2,3,1700.0,5188.235294117647
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,70.0,2,1475.0,4745.762711864407
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,2.0,2.0,55.0,2,1265.0,4347.826086956522
Built-up  Area,Ready To Move,Anandapura,2 Bedroom,2.0,0.0,58.0,2,1200.0,4833.333333333333
Super built-up  Area,Ready To Move,1st Phase JP Nagar,3 BHK,3.0,2.0,210.0,3,2180.0,9633.02752293578
Super built-up  Area,Ready To Move,Brookefield,2 BHK,2.0,3.0,50.0,2,1080.0,4629.62962962963
Super built-up  Area,Ready To Move,Whitefield,3 BHK,4.0,2.0,130.0,3,2023.0,6426.099851705388
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,3.0,125.0,2,2400.0,5208.333333333333
Super built-up  Area,Ready To Move,Kadubeesanahalli,3 BHK,2.0,2.0,66.0,3,1545.0,4271.844660194175
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,3.0,2.0,166.0,3,1804.0,9201.773835920178
Plot  Area,Ready To Move,Other,2 Bedroom,2.0,1.0,200.0,2,1200.0,16666.666666666668
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,2.0,2.0,58.0,3,1350.0,4296.2962962962965
Super built-up  Area,21-Dec,Hoodi,2 BHK,2.0,1.0,74.23,2,1108.0,6699.458483754513
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3.0,2.0,115.0,3,1730.0,6647.398843930636
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,3.0,70.0,3,1427.0,4905.395935529082
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2.0,1.0,35.53,2,935.0,3800.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,2 BHK,2.0,2.0,31.77,2,1073.0,2960.857409133271
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,2.0,3.0,37.0,2,960.0,3854.1666666666665
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,4.0,2.0,150.0,3,2215.0,6772.009029345372
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,2.0,1.0,32.49,2,1125.0,2888.0
Built-up  Area,Ready To Move,Brookefield,2 BHK,2.0,3.0,55.0,2,1230.0,4471.544715447155
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,2.0,2.0,89.0,2,1438.0,6189.151599443671
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2.0,2.0,75.0,2,1080.0,6944.444444444444
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,3.0,2.0,125.0,3,1200.0,10416.666666666666
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,1.0,1.0,103.0,2,1200.0,8583.333333333334
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3.0,2.0,58.0,3,1590.0,3647.7987421383646
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,68.0,3,1350.0,5037.037037037037
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,2.0,2.0,48.0,3,1400.0,3428.5714285714284
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,2.0,3.0,72.0,3,1560.0,4615.384615384615
Built-up  Area,Ready To Move,Mallasandra,4 BHK,3.0,2.0,57.0,4,1810.0,3149.171270718232
Super built-up  Area,Ready To Move,Other,3 BHK,4.0,1.0,160.0,3,2274.24,7035.317292809907
Super built-up  Area,18-Dec,Sonnenahalli,3 BHK,3.0,1.0,74.18,3,1484.0,4998.652291105122
Built-up  Area,Ready To Move,Indira Nagar,3 BHK,3.0,3.0,220.0,3,1650.0,13333.333333333334
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,55.0,3,1455.0,3780.0687285223366
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,4.0,2.0,184.0,3,2280.0,8070.175438596491
Super built-up  Area,Ready To Move,Other,5 BHK,5.0,2.0,980.0,5,4900.0,20000.0
Built-up  Area,18-Apr,Frazer Town,3 BHK,3.0,3.0,220.0,3,2079.0,10582.010582010582
Super built-up  Area,Ready To Move,Bharathi Nagar,2 BHK,2.0,2.0,74.0,2,1351.0,5477.424130273871
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,2.0,2.0,42.81,3,1223.0,3500.408830744072
Super built-up  Area,18-Jun,KR Puram,3 BHK,2.0,1.0,61.0,3,1430.0,4265.734265734266
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,5.0,0.0,400.0,4,3589.0,11145.165784341041
Super built-up  Area,18-Aug,Electronic City Phase II,3 BHK,2.0,2.0,37.83,3,1310.0,2887.7862595419847
Plot  Area,Ready To Move,Channasandra,4 Bedroom,4.0,1.0,300.0,4,1800.0,16666.666666666668
Plot  Area,18-May,Giri Nagar,4 Bedroom,4.0,2.0,175.0,4,1120.0,15625.0
Super built-up  Area,18-Nov,Sarjapur  Road,2 BHK,2.0,1.0,55.0,2,984.0,5589.430894308943
Built-up  Area,Ready To Move,Jalahalli,3 BHK,3.0,3.0,100.0,3,1770.0,5649.717514124294
Plot  Area,Ready To Move,Other,2 Bedroom,3.0,1.0,105.0,2,900.0,11666.666666666666
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,5.0,1.0,120.0,5,1350.0,8888.888888888889
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,2.0,1.0,75.97,2,1447.0,5250.172771250864
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,2.0,1.0,60.0,2,1140.0,5263.1578947368425
Super built-up  Area,18-Jul,Bommanahalli,2 BHK,2.0,3.0,34.0,2,1170.0,2905.982905982906
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,2.0,2.0,46.39,2,1160.0,3999.137931034483
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,2.0,1.0,89.0,2,1296.0,6867.283950617284
Built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,80.0,3,1570.0,5095.541401273886
Super built-up  Area,Ready To Move,Other,3 BHK,2.0,2.0,65.0,3,1495.0,4347.826086956522
Super built-up  Area,Ready To Move,Hoodi,3 BHK,2.0,2.0,67.0,3,1530.0,4379.084967320261
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,4.0,0.0,140.0,5,900.0,15555.555555555555
Super built-up  Area,Ready To Move,Gunjur,3 BHK,3.0,1.0,70.0,3,1800.0,3888.8888888888887
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2.0,2.0,48.0,2,1088.0,4411.764705882353
Super built-up  Area,19-Mar,Hosa Road,3 BHK,3.0,1.0,98.18,3,1533.0,6404.4357469015
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,2.0,1.0,68.0,2,1100.0,6181.818181818182
Built-up  Area,Ready To Move,Thubarahalli,3 BHK,3.0,3.0,90.0,3,1540.0,5844.1558441558445
Super built-up  Area,Ready To Move,Hebbal,2 BHK,3.0,2.0,48.0,2,1244.0,3858.520900321543
Super built-up  Area,19-Mar,Hosa Road,2 BHK,2.0,1.0,68.59,2,1040.0,6595.192307692308
Built-up  Area,Ready To Move,Other,6 BHK,6.0,2.0,101.0,6,1034.0,9767.891682785299
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2.0,1.0,39.69,2,1260.0,3150.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2.0,1.0,41.3,2,1180.0,3499.9999999999995
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,2.0,2.0,100.0,2,1245.0,8032.128514056225
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,0.0,75.0,3,1350.0,5555.555555555556
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,56.0,3,1464.0,3825.136612021858
Super built-up  Area,Ready To Move,Other,1 BHK,2.0,1.0,10.0,1,470.0,2127.659574468085
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,2.0,2.0,60.0,2,920.0,6521.739130434783
Built-up  Area,Ready To Move,Other,6 Bedroom,7.0,0.0,160.0,6,2300.0,6956.521739130435
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2.0,1.0,30.35,2,1124.0,2700.1779359430607
Super built-up  Area,19-Sep,Yelahanka New Town,4 BHK,3.0,1.0,109.0,4,2095.0,5202.863961813842
Super built-up  Area,20-Aug,Begur Road,2 BHK,2.0,1.0,71.42,2,1100.0,6492.727272727273
Super built-up  Area,Ready To Move,Vijayanagar,2 BHK,2.0,1.0,58.0,2,1019.0,5691.854759568204
Super built-up  Area,Ready To Move,Harlur,3 BHK,3.0,2.0,128.0,3,1756.0,7289.293849658315
Super built-up  Area,18-May,Bommasandra,3 BHK,3.0,1.0,50.0,3,1280.0,3906.25
Plot  Area,Ready To Move,Kenchenahalli,4 Bedroom,3.0,2.0,125.0,4,1200.0,10416.666666666666
Super built-up  Area,Ready To Move,Indira Nagar,3 BHK,3.0,2.0,150.0,3,1700.0,8823.529411764706
Super built-up  Area,18-Dec,Whitefield,3 BHK,4.0,2.0,118.0,3,2134.0,5529.522024367385
Super built-up  Area,18-Jun,Hosa Road,2 BHK,2.0,1.0,98.0,2,1369.1,7157.986998758309
Plot  Area,Ready To Move,Subramanyapura,3 Bedroom,3.0,1.0,69.0,3,600.0,11500.0
Plot  Area,Ready To Move,Other,3 Bedroom,4.0,2.0,150.0,3,1313.0,11424.219345011425
Super built-up  Area,Ready To Move,Other,3 BHK,4.0,3.0,155.0,3,2515.0,6163.021868787277
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,4.0,2.0,154.0,3,2215.0,6952.5959367945825
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,72.0,3,1440.0,5000.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,2.0,2.0,55.33,3,1186.0,4665.2613827993255
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2.0,2.0,47.24,3,1350.0,3499.259259259259
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3.0,2.0,140.0,3,1800.0,7777.777777777777
Built-up  Area,Ready To Move,Kudlu,3 BHK,3.0,3.0,79.0,3,1600.0,4937.5
Built-up  Area,Ready To Move,GM Palaya,2 BHK,2.0,1.0,35.0,2,1000.0,3500.0
Super built-up  Area,Ready To Move,Cunningham Road,3 BHK,3.0,3.0,285.0,3,2275.0,12527.472527472528
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,2.0,1.0,59.0,3,1305.0,4521.072796934866
Super built-up  Area,20-Jan,Binny Pete,3 BHK,3.0,1.0,150.0,3,1740.0,8620.689655172413
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,2.0,1.0,90.0,2,900.0,10000.0
Built-up  Area,Ready To Move,Benson Town,2 BHK,3.0,0.0,140.0,2,1567.0,8934.269304403319
Super built-up  Area,Ready To Move,Kambipura,3 BHK,2.0,1.0,45.5,3,1082.0,4205.1756007393715
Built-up  Area,Ready To Move,Nagarbhavi,2 BHK,2.0,1.0,80.0,2,1050.0,7619.047619047619
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,56.0,2,1200.0,4666.666666666667
Built-up  Area,Ready To Move,Begur,3 Bedroom,4.0,2.0,185.0,3,3500.0,5285.714285714285
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,2.0,2.0,52.0,2,1220.0,4262.295081967213
Super built-up  Area,18-Apr,Binny Pete,3 BHK,3.0,2.0,164.0,3,1970.0,8324.873096446701
Super built-up  Area,20-Dec,Other,3 BHK,3.0,1.0,350.0,3,2665.0,13133.208255159474
Built-up  Area,Ready To Move,Kanakapura,4 BHK,4.0,0.0,120.0,4,2130.0,5633.802816901409
Super built-up  Area,Ready To Move,Harlur,3 BHK,3.0,2.0,120.0,3,1749.0,6861.06346483705
Super built-up  Area,18-Jun,Subramanyapura,2 BHK,2.0,1.0,108.0,2,1260.0,8571.42857142857
Super built-up  Area,Ready To Move,Doddaballapur,3 BHK,2.0,1.0,48.0,3,11840.289999999999,405.3954759554031
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,2.0,2.0,120.0,2,1170.0,10256.410256410256
Super built-up  Area,Ready To Move,Other,3 BHK,3.0,2.0,75.0,3,1670.0,4491.017964071856
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3.0,2.0,168.0,3,2264.0,7420.494699646643
Super built-up  Area,15-Oct,Other,4 BHK,5.0,2.0,450.0,4,3500.0,12857.142857142857
Super built-up  Area,Ready To Move,Begur,2 BHK,2.0,2.0,55.0,2,1100.0,5000.0
Super built-up  Area,18-Dec,Chandapura,2 BHK,1.0,1.0,19.9,2,674.0,2952.522255192878
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2.0,1.0,160.0,2,1320.0,12121.212121212122
Plot  Area,Ready To Move,Vishveshwarya Layout,4 Bedroom,4.0,2.0,85.0,4,600.0,14166.666666666666
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2.0,2.0,65.0,2,1125.0,5777.777777777777
Super built-up  Area,Ready To Move,Nagavara,2 BHK,2.0,2.0,44.5,2,1125.0,3955.5555555555557
Super built-up  Area,Ready To Move,Other,2 BHK,2.0,1.0,29.0,2,700.0,4142.857142857143
Built-up  Area,Ready To Move,BTM Layout,3 BHK,2.0,1.0,75.0,3,1300.0,5769.2307692307695
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,3.0,2.0,83.0,3,1600.0,5187.5
Super built-up  Area,18-Aug,Magadi Road,3 BHK,2.0,1.0,60.0,3,1052.0,5703.42205323194
Super built-up  Area,Ready To Move,Other,4 BHK,3.0,1.0,145.0,4,1140.0,12719.298245614034
Super built-up  Area,Ready To Move,Devarachikkanahalli,2 BHK,2.0,2.0,36.0,2,1130.0,3185.8407079646017
Plot  Area,Ready To Move,Other,4 Bedroom,3.0,2.0,225.0,4,1140.0,19736.842105263157
Super built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,3.0,3.0,220.0,3,2200.0,10000.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,2.0,1.0,63.0,3,1500.0,4200.0
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,3.0,1.0,47.25,3,1350.0,3500.0
